subject,datestamp,timestamp,version,pur1,pur2,pur3,id
A3675LEANIPGBO_m3r5,2014-08-19,17:13:29,lossave_moral,1,1,1,474
ARN53ET0LBBBP_m3r5,2014-08-19,17:13:30,lossave_moral,6,7,2,475
A16GYJ4ZNAJ1FE_m3r5,2014-08-19,17:13:32,lossave_moral,7,7,4,476
A1PIJKC3FM7B60_m3r5,2014-08-19,17:13:33,lossave_moral,7,7,6,477
A2FRFMTVRHBF53_m3r5,2014-08-19,17:13:40,lossave_moral,1,4,1,478
A3RU7ANMLXJQF6_m3r5,2014-08-19,17:13:42,lossave_moral,7,4,4,479
AY1CM9ZI774II_m3r5,2014-08-19,17:14:02,lossave_moral,1,7,1,480
A3AZJGI9D7C0PD_m3r5,2014-08-19,17:14:27,lossave_moral,7,7,7,481
A2OLVF6P86QSQJ_m3r5,2014-08-19,17:14:50,lossave_moral,1,3,1,482
A6GK3W5MDWXCY_m3r5,2014-08-19,17:14:57,lossave_moral,7,7,7,483
A2MQXFHQABHJ8E_m3r5,2014-08-19,17:15:15,lossave_moral,6,7,2,484
A14WLAP6TCEKO0_m3r5,2014-08-19,17:15:22,lossave_moral,6,6,2,485
ALILKWW13RD9_m3r5,2014-08-19,17:15:24,lossave_moral,7,7,3,486
AF55TOBE2AI1U_m3r5,2014-08-19,17:15:28,lossave_moral,7,7,2,487
A2UXOEFCUYEV8U_m3r5,2014-08-19,17:15:29,lossave_moral,6,7,1,488
A17BQ2QRW1V9AO_m3r5,2014-08-19,17:15:32,lossave_moral,7,1,1,489
A1FHY6RNR9QHT9_m3r5,2014-08-19,17:15:38,lossave_moral,7,7,2,490
A1OW8OJ9OIY182_m3r5,2014-08-19,17:15:44,lossave_moral,4,3,2,491
A332MXF8R3BG2Z_m3r5,2014-08-19,17:15:50,lossave_moral,7,3,1,492
A423QQ5WN43B9_m3r5,2014-08-19,17:15:51,lossave_moral,5,5,6,493
A3TG5YNIWW3WGP_m3r5,2014-08-19,17:15:56,lossave_moral,7,7,2,494
A2SVUP7CUY0P3L_m3r5,2014-08-19,17:16:19,lossave_moral,4,4,4,495
A14G74OGU7ADCS_m3r5,2014-08-19,17:16:31,lossave_moral,7,7,1,496
AVIOR20K5ZXQD_m3r5,2014-08-19,17:16:37,lossave_moral,5,7,2,497
A5ZWYI3H052FT_m3r5,2014-08-19,17:16:43,lossave_moral,7,7,5,498
A3QLTVQPG1N27R_m3r5,2014-08-19,17:16:44,lossave_moral,7,7,7,499
A1QMSDPJMMIO0T_m3r5,2014-08-19,17:16:52,lossave_moral,7,7,7,500
A1GDDULNGBI1P9_m3r5,2014-08-19,17:16:57,lossave_moral,7,7,7,501
A333JVWMKDSOF8_m3r5,2014-08-19,17:16:57,lossave_moral,7,7,7,502
A1K6T4BCZASC50_m3r5,2014-08-19,17:17:06,lossave_moral,4,7,6,503
A26F9VP8ELLZC4_m3r5,2014-08-19,17:17:08,lossave_moral,6,4,1,504
A32MGSAQ6QL9CK_m3r5,2014-08-19,17:17:21,lossave_moral,3,5,1,505
A315IS7QIVORIT_m3r5,2014-08-19,17:17:32,lossave_moral,1,1,4,506
A18DKL63PB77JH_m3r5,2014-08-19,17:17:33,lossave_moral,7,7,1,507
A31O5XYX80XD21_m3r5,2014-08-19,17:17:37,lossave_moral,6,7,6,508
ACVN9KEBM2GHR_m3r5,2014-08-19,17:17:38,lossave_moral,7,7,6,509
A35QKJ6MGNT45D_m3r5,2014-08-19,17:17:43,lossave_moral,2,4,2,510
A2TVG2HLMKVMSL_m3r5,2014-08-19,17:17:47,lossave_moral,7,6,5,511
A2QG6V1C14866C_m3r5,2014-08-19,17:17:54,lossave_moral,7,7,7,512
