subject,datestamp,timestamp,version,crt1,crt2,crt3,id,crt_score,,,,Correct answers:
A2QQFGD7K7AHK8_m3r5,8/19/2014,17:14:58,lossave_moral,5,5,47,386,3,,,,
A2QVMCGDLTWV9_m3r5,8/19/2014,17:54:41,lossave_moral,0,5,47,536,2,,,,
A2RWYKSCTPWP1A_m3r5,8/19/2014,17:07:23,lossave_moral,10,100,24,326,0,,,,
A2SNURWB6B2NXH_m3r5,8/19/2014,17:01:22,lossave_moral,0,5,47,291,2,,,,
A2SVUP7CUY0P3L_m3r5,8/19/2014,17:27:20,lossave_moral,10,100,24,474,0,,,,
A2T114Z5BAQMFQ_m3r5,8/19/2014,17:45:08,lossave_moral,10,100,24,529,0,,,,
A2TVG2HLMKVMSL_m3r5,8/19/2014,17:27:43,lossave_moral,5,5,47,477,3,,,,
A2UF2FRGVW4T89_m3r5,8/19/2014,18:24:31,lossave_moral,5,5,47,555,3,,,,
A2UVEVCYVC553J_m3r5,8/19/2014,17:29:33,lossave_moral,10,100,24,495,0,,,,
A2UXOEFCUYEV8U_m3r5,8/19/2014,17:40:16,lossave_moral,0,100,6,523,0,,,,
A2VCNB4XETPOT2_m3r5,8/19/2014,17:07:02,lossave_moral,10,1000,196,319,0,,,,
A2W1B07YBSBFBQ_m3r5,8/19/2014,17:58:21,lossave_moral,0,100,24,542,0,,,,
A2WDTJBM4ES5S4_m3r5,8/19/2014,17:20:18,lossave_moral,5,5,47,419,3,,,,
A2WF8JGMNB4UEN_m3r5,8/19/2014,18:44:03,lossave_moral,0,100,24,560,0,,,,
A2WH5WTM85ZF7G_m3r5,8/19/2014,17:14:33,lossave_moral,10,5,47,382,2,,,,
A2X7J4C6MIXVDB_m3r5,8/19/2014,17:20:25,lossave_moral,10,100,47,420,1,,,,
A2XTUQ4CD1LF2K_m3r5,8/19/2014,17:17:46,lossave_moral,10,100,47,405,1,,,,
A2XVOYY8BDEZXF _m3r5,8/19/2014,18:48:20,lossave_moral,5,100,12,562,1,,,,
A2Y0ZGI29KQBTB_m3r5,8/19/2014,17:16:12,lossave_moral,5,5,47,392,3,,,,
A2YKYAZYVWOXBO_m3r5,8/19/2014,17:50:13,lossave_moral,10,100,24,531,0,,,,
A2ZE2IPHK152KA_m3r5,8/19/2014,17:14:20,lossave_moral,0,5,7,380,1,,,,
A2ZK1HOZ37TN2K_m3r5,8/19/2014,17:05:45,lossave_moral,0,100,47,311,1,,,,
A30EONSVHP1J0F_m3r5,8/19/2014,17:29:39,lossave_moral,0,5,24,497,1,,,,
